locus	surface	structural_parse	speculative_paraphrase	confidence	main_problem
f83r.paragraph3	f83r.25--30	Q_OPEN_PACKET | OT_CONTINUE_PACKET | DAIN_PARAMETER_AND_CHECKPOINT_PACKET | S_STATE_CARRY_PACKET | S_STATE_CARRY_PACKET | S_RESUME_AND_QOKY_SAI_FAMILY_TAIL_PACKET	Die Standardfolge eröffnen und die CHEY/OKE-Stufen durchgehen; im OT-Rahmen fortsetzen; DAIN eintragen und die abgeschlossenen Zellen einschließlich des zweimaligen SHCKHEDY notieren; mit SAIIN/CHEEKY aufnehmen, über zwei Zeilen den OLDY-Zustand oder das Medium erhalten, OKEEDY erneut aufnehmen und QOKY unter der abschließenden lokalen S-AI(N)-Referenz stehen lassen.	VERY_LOW_CONTENT_HIGH_ARCHITECTURE	The six-packet scaffold and repetitions are visible, but operation, alternate setting, parameter, result, two slots, carried state, liquid/water medium and SAI-family tail function remain speculative; SAII is not retained as a record close.
f55v.12	daiin | ar | cheky | olkeechy | sl <DRAWING> ar | aiin | daiin | otam	PRE_DRAWING_FRAGMENT: DAIIN | AR | CHEKY | OLKEECHY | SL || POST_DRAWING_FRAGMENT: AR | AIIN | DAIIN | OTAM	Absatzfinale, durch die vorhandene Zeichnung räumlich geteilte Folge aus Wert-, Relations- und Zustandsformen; eine konkrete zusammenhängende Lesung wird nicht mehr aus der Bildlage abgeleitet.	FORM_HIGH_CONTENT_UNASSIGNED	Measure, preparation, liquid, water, course and left/right functions are withdrawn; logical order across the drawing remains unresolved.
f55v.10	oaiin | ol | s | aiin | okaiin | oky <DRAWING> ytaiin | otar | y | kal | ykar | ol	PRE_DRAWING_FRAGMENT: OAIIN | OL | S | AIIN | OKAIIN | OKY || POST_DRAWING_FRAGMENT: YTAIN | OTAR | Y | KAL | YKAR | OL	Durch die vorgezeichnete Pflanze unterbrochene Folge mit wiederkehrenden Wert-, O/OT-, S- und OL/AR-Formen; nur die formale Zusammensetzung, nicht die Bedeutung der beiden Raumsegmente, wird beibehalten.	FORM_HIGH_CONTENT_UNASSIGNED	The drawing is only a layout constraint; cross-drawing order and all liquid, operation and plant-part meanings are unresolved.
f83r.51	darolsy	D_APPLY | AR_COURSE | OL_CARRIER | SY_TERMINAL_LOCAL_STATE	Durch den Träger oder Kanal zum markierten Y-Zustand führen oder anwenden.	VERY_LOW_SEMANTIC_MEDIUM_COMPOSITION	FLOW-like placement motivates the paraphrase, but direction, channel, state and segmentation are unconfirmed.
f83r.27	dain | chedy | qokeedy | shckhedy | shckhedy	D_SET(AIN_N1) | CHE_PREPARE+CLOSE | Q_EXECUTE(OKE_GRADE2)+CLOSE | SH_RESULT(CKHE)+CLOSE | SH_RESULT(CKHE)+CLOSE	Eine Einheit einstellen und vorbereiten; die Standardbehandlung der zweiten Stufe ausführen; anschließend denselben behandelten CKHE-Zustand zweimal beziehungsweise für zwei parallele Ausgänge festhalten.	LOW_CONTENT_HIGH_FORM	All three readings agree on five definite-space groups and exact final repetition; value, preparation, treatment, result, multiplicity and parallel ownership remain invented.
f83r.28	saiin | cheeky | sheey | qokedy | shedy/edy | oldy	SAIIN_SETTING | CHEEKY_PREPARED_ITEM_CELL | SHEEY_INITIAL_STATE_CELL | QOKEDY_STANDARD_GRADE1_PROCESS_CELL | EDY_STATE_CELL_WITH_UNCERTAIN_S_RENDERING | OLDY_CARRIER_STATE_CHECKPOINT	Mit der registrierten Einstellung und dem vorbereiteten KY-Gegenstand im Anfangszustand fortfahren; die Standardbehandlung erster Stufe anwenden, den EDY-Zustand notieren und im OL-Medium oder Kanal in die nächste Zeile übernehmen.	VERY_LOW_CONTENT_HIGH_FORM	RF1b reads EDY where ZL3b/IT2a read SHEDY; this rejects a stable universal SH=result decomposition, and every content gloss remains invented.
f83r.29-30	salchedy/solchedy | cheey | qody | kesd | oldy // s|okeedy/sokeedy | qokeedy | qoky | saii	LOCAL_STATE_CELL | CHEEY_ITEM_CELL | QODY_SUBSTEP | KESD_SUBSTEP | OLDY_CARRIED_STATE // S_LINE_ENTRY(OKEEDY) | Q_POST_DY(OKEEDY) | QOKY_VALUE | SAII_PARAGRAPH_CLOSE	Im übernommenen OL-Medium die CHEY-, QODY- und KESD-Teilschritte ausführen und den Trägerzustand erneut halten; auf der nächsten Zeile die Standardbehandlung in der S-Form wiederaufnehmen, nach ihrem DY-Abschluss in der Q-Form fortsetzen, QOKY eintragen und den Absatz bei SAII schließen.	VERY_LOW_CONTENT_HIGH_RENDERER	The S|OKEEDY boundary and first cell vary by reading; renderer positions are supported but medium, substep, treatment, value and close meanings remain invented.
six_page.AIIN_DAIIN	aiin / daiin	AIIN_BARE_PARAMETER_OR_REFERENCE / D_ENTRY_OR_ACTIVATION(AIIN)	AIIN bezeichnet im erfundenen Werkstattmodell den registrierten Gegenstand oder Wert; DAIIN weist an, denselben Gegenstand oder Wert einzutragen, zu nehmen oder zu setzen.	LOW_CONTENT_MEDIUM_CROSS_HAND_FORM	Both exact forms occur in selected hands 1, 2 and 4; AIIN is never line-initial here while DAIIN is line-initial four times, but parameter, value, entry, activation and instruction remain invented.
six_page.DY	dy	LOCAL_CELL_CHECKPOINT_NOT_SENTENCE_STOP	Die gegenwärtige lokale Einheit abschließen oder abhaken; danach kann derselbe Eintrag auf derselben oder einer späteren physischen Zeile weitergehen.	LOW_CONTENT_HIGH_SAMPLE_POSITION	Standalone DY is exactly 8/16 line-final and 8/16 internal in this sample; its diverse successors reject deterministic following Q, while done, next, checkpoint, slot and punctuation remain invented.
six_page.OR_DAR	or / dar	OR_INTERNAL_LINK_CELL / DAR_LEXICALIZED_COMPLETE_RELATION_OR_OPERATION_CELL	OR verknüpft im erfundenen Werkstattmodell benachbarte eingetragene Zellen; DAR ist eine separat gelernte vollständige Relations- oder Operationskarte und keine sicher reguläre D-Ableitung von OR.	VERY_LOW_CONTENT_MEDIUM_SAMPLE_POSITION	OR is internal in 7/9 cases and occurs as OR OR AIIN, while DAR has only five examples and is more boundary-skewed; link, relation and operation remain invented and OR must not be promoted to AND.
six_page.PICKUP_KEYS	O / S / D / Q / Y at locus entry	PAGE_TEMPLATE_CONDITIONED_PICKUP_MODE	O eröffnet versuchsweise einen neutralen oder kompakten Eintrag, S nimmt die lokale Konstruktion wieder auf, D trägt die erste Zelle ein, Q bindet an einen lizenzierten Vorzustand an und Y wählt einen lokalen Indexmodus.	VERY_LOW_CONTENT_MEDIUM_PAGE_PATTERN	Within hand 2 S openings vary from 0/12 on f55v to 28/55 on f83r, and f82r O openings average only 2.1 groups; all five operational labels remain invented and circle loci are not equated with prose lines.
six_page.EXACT_DUPLICATION	X | X	DUPLICATE_OR_REPEAT_CURRENT_COMPLETE_CELL	Dieselbe registrierte Zelle nochmals beziehungsweise für die nächste parallele Position eintragen; die konkrete Ausführung kann Wiederholung, zwei Plätze oder denselben Wert für beide bedeuten.	MEDIUM_FORM_LOW_CONTENT	Nine immediate duplicate pairs span all six selected pages and all three hands and remain exact in all three readings; repeat, second slot, twice, both, plural and emphasis are alternative invented realizations, not recovered meanings.
f83r.paragraph47_51	otchdy qokchdy shedal // dal cheol lol chdal aiin // sol daiiin chedy // sasoldal // darolsy	ANALYTIC_MULTI_CELL_PACKETS_TO_TWO_LAYOUT_COMPACT_CARDS	Die lokale Konstruktion eröffnen, ihre DAL/OL-/Wertzellen und die SOL/CHEDY-Fortsetzung analytisch eintragen und danach die zwei lizenzierten Kompaktkarten SASOLDAL und DAROLSY in den verbleibenden engen Positionen schreiben.	VERY_LOW_CONTENT_MEDIUM_LAYOUT_GRAMMAR	The paragraph start and 3+5+3+1+1 group architecture are observed; analytic-to-compact equivalence, narrow space, formula, construction, value and every practical meaning remain speculative.
f83r.paragraph52_55	solkeey qekey raly ol // solchkal cheol qotar ol // daiin ol dain chey ldalor // sol rtain cthal	TWO_PARALLEL_SOL_HEAD_PACKETS_WITH_INVARIANT_OL_SLOT | SHARED_PARAMETER_PACKET | FINAL_FREE_SOL_PACKET	Den KEEY-Gegenstand mit seinen QEKEY/RALY-Angaben im OL-Medium bearbeiten; parallel den CHKAL-Gegenstand mit CHEOL/QOTAR im selben OL-Medium bearbeiten; danach die gemeinsame OL-/DAIN-/CHEY-Einstellung eintragen und die abschließende freie SOL-Anweisung für RTAIN/CTHAL ausführen.	VERY_LOW_CONTENT_HIGH_PARALLEL_FORM	The paired SOL+variable ... OL frames and later free SOL are stable, but action head, item, specification, shared parameter, medium, liquid/water and final instruction are invented.
f83r.20-21	solkeedy ... sol cheeety // solkeedy ... sol chedy/solchedy	BOUND_PRIMARY_SOL_HEAD | Q_STAGE_SEQUENCE | DETACHED_OR_VARIABLE_SECONDARY_SOL_HEAD	Die feste KEEDY-Bearbeitung durch die angegebenen Q-Stufen führen; danach denselben freien SOL-Bearbeitungskopf auf die CHEEETY- beziehungsweise CHEDY-Zelle anwenden und mit den restlichen registrierten Zellen fortfahren.	LOW_CONTENT_HIGH_ATTACHMENT_FORM	All readings preserve bound initial SOLKEEDY and free SOL CHEEETY; ZL/IT read SOL CHEDY where RF reads SOLCHEDY, supporting an attachment gradient while treatment, primary, secondary, stage and scope remain invented.
six_page.OL	ol	DEPENDENT_CARRIER_OBJECT_OR_MEDIUM_SLOT	OL als abhängigen Träger-, Gegenstands- oder Mediumplatz unter SOL-, DAIIN-, OR- und weiteren Relationszellen eintragen; im Pflanzen-/Bio-Register kann dieser Platz versuchsweise eine Flüssigkeit einschließlich Wasser aufnehmen.	VERY_LOW_CONTENT_MEDIUM_ARGUMENT_POSITION	Exact OL occurs 11 times with zero locus starts, eight internal and three final, but carrier, object, medium, liquid, water, vessel, channel and register rebinding remain invented; f69v warns against a universal water gloss.
f82r_f83r.DAIIN_CHEY	daiin | chey | VARIABLE_CONTINUATION	D_ENTRY_OR_ACTIVATION | CHEY_DEPENDENT_ITEM_OR_PARAMETER | VARIABLE_NEXT_CELL	Den aktuellen CHEY-Gegenstand oder Parameter eintragen beziehungsweise nehmen und danach mit der jeweils folgenden registrierten Operations- oder Zustandszelle fortfahren.	LOW_CONTENT_HIGH_RECURRENT_FRAME	DAIIN CHEY recurs three times on f82r/f83r and is stable in all three readings while QOL QOKEEEDY and LCHEDY continuations differ; take, item, material, parameter, operation and state remain invented.
f83r.30	s | okeedy | qokeedy | qoky | saii	S_LINE_PICKUP | OKEE_OPERATION_PLUS_DY_CHECKPOINT | Q_LINKED_HOMOLOGOUS_OPERATION_PLUS_DY | QOKY_CELL | SAI_FAMILY_LOCAL_TAIL_OR_CARRY	Die laufende OKEE-Bearbeitung wiederaufnehmen und als abgeschlossene Zelle ausführen; danach die verknüpfte nächste OKEE-Zelle ausführen und QOKY unter der lokalen weitergetragenen S-AI(N)-Referenz stehen lassen.	VERY_LOW_CONTENT_HIGH_LOCAL_FORM	The S/OKEEDY boundary varies and QOKEEDY is common; SAII is a singleton while QOKY SAIIN also occurs, so closure is withdrawn and resume, operation, homologous next instance, QOKY content and carry remain invented.
six_page.AIIN_DAIIN_SAIIN	aiin / daiin / saiin / saii	BARE_REFERENCE / D_ENTER_REFERENCE / S_CARRY_OR_RESUME_REFERENCE / POSSIBLE_SHORT_S_RENDERING	AIIN als bare registrierte Referenz verwenden, DAIIN zum Eintragen oder Aktivieren und SAIIN zum Wiederaufnehmen oder Weitertragen derselben Referenz; SAII höchstens als lokale Kurzform behandeln.	VERY_LOW_CONTENT_MEDIUM_PARADIGM_COHERENCE	AIIN and DAIIN are well recurrent, but SAIIN has five occurrences and SAII one; reference, parameter, enter, activate, resume, carry and shortening remain invented and no productive morphology is established.
f82r_f83r.QOK_COLUMNS	qokeedy / qokaiin	QOK_FAMILY_PLUS_CHECKPOINTED_PROCESS_COLUMN / QOK_FAMILY_PLUS_REFERENCE_PARAMETER_COLUMN	Die QOK-Familie entweder als abgeschlossene Vorgangs-/Zustandszelle QOKEEDY oder als zugehörige Referenz-/Parameterzelle QOKAIIN eintragen; in der häufigeren lokalen Reihenfolge zuerst den Vorgang und dann seine Einstellung notieren.	VERY_LOW_CONTENT_MEDIUM_COOCCURRENCE	QOKEEDY and QOKAIIN occur 21 and 17 times and co-occur on five loci with EEDY first in four, but family, process, state, reference, parameter, value, column and temporal order are invented.
f82r.15	kedy | lchedy | qokedy | qokeedy | lkeedy | qokaiin | dy | daiin | chdy | dy	K_EDY_CELL | LCH_EDY_CELL | QOK_EDY_BASE_CELL | QOK_EEDY_MARKED_CELL | LK_EEDY_CELL | QOK_AIIN_REFERENCE_CELL | CHECKPOINT | D_ENTER_AIIN | CH_DY_CELL | CHECKPOINT	Die abgeschlossenen K- und LCH-Zellen eintragen; den QOK-Grundzustand und den markierten oder erweiterten QOK-Zustand erfassen, danach den markierten LK-Zustand und die QOK-Referenzeinstellung; die Reihe abhaken, die allgemeine Referenz eintragen, CH erfassen und erneut abhaken.	VERY_LOW_CONTENT_HIGH_MATRIX_FORM	QOKEDY QOKEEDY and QOKAIIN visibly co-occur and the sparse matrix is recurrent, but row identities, reference, parameter, input, base, marked, extended, state, process and checkpoint meanings remain invented.
six_page.AIIN_EDY_EEDY_MATRIX	QOK/QOT/CH/OK/OT/LK/SOLK × AIIN/EDY/EEDY	SPARSE_REGISTERED_ROW_BY_CELL_TYPE_LOOKUP_MATRIX	Eine registrierte Reihenfamilie auswählen und je nach benötigter Formularspalte ihre AIIN-Referenzform, EDY-Grundabschlussform oder EEDY-markierte Abschlussform aus der Werkstatttabelle kopieren.	VERY_LOW_CONTENT_HIGH_FORMAL_COHERENCE	Seven rows have observed AIIN and EDY/EEDY cards, but the table is sparse and all column functions are invented; no complete factorial productivity, lexeme, morpheme, number or language claim follows.
f55v_f82r_f83r.S_AIIN	s | aiin / saiin	DETACHABLE_SAME_CURRENT_CARRY_OPERATOR_PLUS_REGISTERED_REFERENCE	Die bereits geltende AIIN-Einstellung oder Referenz unter S weiterverwenden beziehungsweise an der neuen Schreibposition wiederaufnehmen; in OL S AIIN dieselbe aktuelle Einstellung für den OL-Träger beibehalten.	LOW_CONTENT_HIGH_FREE_BOUND_FORM	Four detached S AIIN sequences span three pages in ZL and alternate readings repeatedly join them as SAIIN; same, current, carry, reuse, setting, reference and OL content remain invented and S need not have one universal function.
six_page.REGISTER_BINDING	PLANT_IMAGE / BATHING_APPARATUS_IMAGE / CYCLIC_ARRAY + SHARED_COMPILER	IMAGE_BOUND_SILENT_SUBJECT | REGISTER_LOCAL_ROW_BINDING | SHARED_AIIN_EDY_DY_S_Q_GRAMMAR	Pflanzenseiten als Zubereitungs-/Trägerprotokolle, biologische Seiten als Bad-/Flüssigkeits-/Behandlungsprotokolle und Kreisseiten als zyklische Parameterregister lesen; dieselbe Formulargrammatik verwenden, aber die Reihen je Register neu belegen.	VERY_LOW_TRANSLATION_MEDIUM_SYSTEM_COHERENCE	Official page imagery supports distinct technical document roles, but plant preparation, water, bath, treatment, parameter values and every row meaning remain invented; the image supplies context rather than exact local word ownership.
f10r_f11r_f56r.CHOL_CTHY	chol | cthy	HERBAL_A_OR_HAND1_STANDARD_CONSTRUCTION	Für den abgebildeten Pflanzenstoff die standardisierte CHOL-Zelle unter der CTHY-Anweisung oder Qualifikation eintragen; versuchsweise: die übliche Zubereitung des nutzbaren Pflanzenmaterials notieren.	VERY_LOW_CONTENT_HIGH_EXACT_FORM	The exact pair is stable in all readings across three Herbal-A hand-1 folios and is not line-end fixed; plant material, standard preparation, instruction, water and every lexical value remain invented, while register, Currier and hand are confounded.
f81v.3	saiin | daiin | olkeedy | okedy | dykain | shek | chdy | dalal | oldy	S_CARRY_REFERENCE | D_SET_OR_OVERRIDE_REFERENCE | BIOLOGICAL_PROCESS_PACKET	Die aus dem vorherigen Abteil geltende Einstellung übernehmen, anschließend den lokalen Wert neu setzen und die aufgeführten OL-/EDY-/DY-Prozesskarten für dieses Abteil abarbeiten.	VERY_LOW_CONTENT_MEDIUM_STATE_SEQUENCE	SAIIN DAIIN is exact across all readings and the image has repeated enclosure slots, but carry, override, setting, process, treatment, compartment and sequence are invented.
f11r_f81v_f82r.DY_DAIIN	dy | daiin	LOCAL_CHECKPOINT_THEN_REGISTERED_SET_VALUE_CELL	Die laufende lokale Zelle abhaken und danach die nächste registrierte Einstellung oder Wertkarte eintragen.	VERY_LOW_CONTENT_HIGH_RECURRENT_TRANSITION	DY DAIIN is exact in all readings on three folios and crosses Herbal/Biological registers; checkpoint, next, setting, value and activation remain invented, and DAIIN placement itself is register-dependent.
f68r1.OTOR	otor	ISOLATED_DIAGRAM_ID_AND_LONG_CONSTRUCTION_CARD	Die registrierte OTOR-Karte als Kennzeichen eines Diagrammobjekts schreiben und dieselbe Karte in der zugehörigen Legende oder Anweisung wiederverwenden.	VERY_LOW_CONTENT_MEDIUM_LABEL_PROSE_REUSE	OTOR is an isolated label and a prose card on f68r1 in ZL/IT, but RF splits the prose form; OTOR also occurs in Herbal/Biological text, so object ID, reference, legend, celestial class and every name are invented.
f81v_f82r.QOLCHEDY_QOKAIN	qolchedy | qokain	CHECKPOINTED_QOL_CARD_THEN_QOK_REFERENCE_CARD	Die registrierte QOL-Vorgangs- oder Zustandskarte abschließen und unmittelbar danach ihre QOK-Einstellungs- oder Referenzkarte eintragen.	VERY_LOW_CONTENT_HIGH_EXACT_FORM	The exact two-card sequence is stable in all readings on two Biological folios; process, state, associated, setting, reference and row-by-column semantics remain invented.
